playlist name: Classic Rock, playlist score 15.935424
playlist name: My Favorites, playlist score 15.910514
playlist name: 80's Baby, playlist score 15.87374
playlist name: summer 2016, playlist score 15.835492
playlist name: on the road , playlist score 15.787862
playlist name: white girl music, playlist score 15.744144
playlist name: Isis, playlist score 15.7427225
playlist name: Disco, playlist score 15.551249
playlist name: Dance Dance, playlist score 15.531468
playlist name: Sad songs, playlist score 15.529569
playlist name: Rock mix, playlist score 15.503878
playlist name: New, playlist score 15.490121
playlist name: Country playlist, playlist score 15.474622
playlist name: recovery, playlist score 15.43776
playlist name: Somo, playlist score 15.426429
playlist name: summer playlist, playlist score 15.415157
playlist name: Vibin, playlist score 15.382913
playlist name: Summer drives, playlist score 15.38264
playlist name: Party, playlist score 15.354668
playlist name: 2000s hits, playlist score 15.346763
playlist name: 18, playlist score 15.3170185
playlist name: country, playlist score 15.295036
playlist name: julie, playlist score 15.292451
playlist name: jams, playlist score 15.283004
playlist name: Thursdays, playlist score 15.282402
playlist name: AM, playlist score 15.199018
playlist name: Bachelor Party!!!, playlist score 15.193632
playlist name: broken. , playlist score 15.183089
playlist name: I Took A Pill In Ibiza - Seeb Remix, playlist score 15.169714
playlist name: 70's, playlist score 15.163774
playlist name: oldies, playlist score 15.155157
playlist name: Heart, playlist score 15.140033
playlist name: Shower jams, playlist score 15.123541
playlist name: EDM, playlist score 15.112586
playlist name: Party, playlist score 15.095002
playlist name: running, playlist score 15.060648
playlist name: Classic Rock, playlist score 15.0567875
playlist name: mood, playlist score 15.052908
playlist name: halloween party!, playlist score 15.044257
playlist name: Throwback, playlist score 15.016638
playlist name: Oldies, playlist score 15.015817
playlist name: car ride, playlist score 14.945895
playlist name: Random Favorites, playlist score 14.934036
playlist name: 80s Rock, playlist score 14.918297
playlist name: holiday cheer, playlist score 14.917104
playlist name: Summer, playlist score 14.887112
playlist name: music i like, playlist score 14.874004
playlist name: Flashback, playlist score 14.865793
playlist name: Girls, playlist score 14.863952
playlist name: ehh, playlist score 14.834033
playlist name: country, playlist score 14.781038
playlist name: Slow jams, playlist score 14.765605
playlist name: country favs, playlist score 14.7546625
playlist name: car rides, playlist score 14.72692
playlist name: Alt Jams, playlist score 14.703312
playlist name: rock, playlist score 14.700921
playlist name: Pop, playlist score 14.6892
playlist name: 22, playlist score 14.688778
